timestamp,event_type
2023-08-07 18:00:21,sudden_acceleration
2023-08-07 18:07:21,sudden_acceleration
2023-08-07 18:08:21,short_honk
2023-08-07 18:46:21,sudden_acceleration
2023-08-07 19:35:21,short_honk
2023-08-07 21:01:21,sudden_deceleration
2023-08-07 21:22:21,short_honk
2023-08-07 21:45:21,sudden_acceleration
2023-08-07 21:51:21,short_honk
2023-08-07 21:54:21,short_honk
2023-08-07 22:44:21,short_honk
2023-08-07 23:02:21,sudden_acceleration
2023-08-07 23:05:21,short_honk
2023-08-08 19:32:21,short_honk
2023-08-08 21:10:21,short_honk
2023-08-08 22:27:21,short_honk
2023-08-08 22:42:21,short_honk
2023-08-08 22:55:21,short_honk
2023-08-09 01:47:21,short_honk
2023-08-09 20:15:21,sudden_deceleration
2023-08-09 21:50:21,short_honk
2023-08-09 22:03:21,short_honk
2023-08-09 22:36:21,sudden_acceleration
2023-08-09 22:50:21,sudden_acceleration
2023-08-09 23:07:21,short_honk
2023-08-09 23:42:21,sudden_acceleration
2023-08-09 23:51:21,short_honk
2023-08-10 00:08:21,short_honk
2023-08-10 02:43:21,sudden_acceleration
2023-08-10 03:19:21,sudden_acceleration
2023-08-10 03:52:21,sudden_deceleration
2023-08-10 03:55:21,short_honk
2023-08-10 19:20:21,short_honk
2023-08-10 20:52:21,short_honk
2023-08-10 20:57:21,short_honk
2023-08-10 22:37:21,sudden_deceleration
2023-08-10 22:46:21,short_honk
2023-08-11 01:27:21,short_honk
2023-08-11 18:33:21,sudden_deceleration
2023-08-11 18:34:21,short_honk
2023-08-11 19:55:21,sudden_acceleration
2023-08-11 20:01:21,short_honk
2023-08-11 20:44:21,short_honk
2023-08-11 20:58:21,sudden_deceleration
2023-08-11 21:30:21,short_honk
2023-08-11 21:42:21,short_honk
2023-08-11 22:47:21,short_honk
2023-08-11 22:57:21,short_honk
2023-08-11 23:13:21,short_honk
2023-08-11 23:35:21,sudden_acceleration
2023-08-12 00:28:21,short_honk
2023-08-12 19:26:21,long_honk
2023-08-12 19:50:21,sudden_acceleration
2023-08-12 19:59:21,short_honk
2023-08-12 20:36:21,short_honk
2023-08-12 20:45:21,sudden_deceleration
2023-08-12 21:01:21,short_honk
2023-08-12 21:09:21,short_honk
2023-08-13 00:23:21,short_honk
2023-08-13 21:18:21,short_honk
2023-08-13 22:43:21,sudden_acceleration
2023-08-13 23:16:21,short_honk
2023-08-14 02:51:21,short_honk
2023-08-14 18:14:21,short_honk
2023-08-14 18:38:21,short_honk
2023-08-14 19:09:21,short_honk
2023-08-14 19:10:21,sudden_acceleration
2023-08-14 19:24:21,short_honk
2023-08-14 20:22:21,short_honk
2023-08-14 20:31:21,sudden_deceleration
2023-08-14 20:33:21,short_honk
2023-08-14 20:48:21,short_honk
2023-08-14 21:18:21,sudden_acceleration
2023-08-14 21:24:21,sudden_deceleration
2023-08-14 21:36:21,sudden_deceleration
2023-08-14 22:18:21,short_honk
2023-08-14 22:38:21,short_honk
2023-08-14 23:18:21,short_honk
2023-08-15 00:13:21,sudden_acceleration
2023-08-15 01:23:21,short_honk
2023-08-15 02:49:21,short_honk
2023-08-15 20:23:21,short_honk
2023-08-15 21:12:21,short_honk
2023-08-16 00:09:21,short_honk
2023-08-16 01:28:21,short_honk
2023-08-16 18:44:21,sudden_acceleration
2023-08-16 18:50:21,sudden_deceleration
2023-08-16 20:02:21,sudden_acceleration
2023-08-16 22:03:21,short_honk
2023-08-16 22:44:21,short_honk
2023-08-16 22:56:21,long_honk
2023-08-17 00:49:21,long_honk
2023-08-17 01:42:21,short_honk
2023-08-17 01:50:21,sudden_acceleration
2023-08-17 01:52:21,short_honk
2023-08-17 02:29:21,short_honk
2023-08-17 18:20:21,short_honk
2023-08-17 18:27:21,sudden_deceleration
2023-08-17 20:21:21,short_honk
2023-08-17 20:39:21,sudden_deceleration
2023-08-17 23:10:21,short_honk
2023-08-18 00:17:21,short_honk
2023-08-18 00:30:21,short_honk
2023-08-18 02:29:21,sudden_deceleration
2023-08-18 18:01:21,sudden_acceleration
2023-08-18 20:38:21,short_honk
2023-08-18 21:00:21,short_honk
2023-08-18 21:52:21,short_honk
2023-08-19 01:19:21,sudden_acceleration
2023-08-19 02:07:21,sudden_acceleration
2023-08-19 02:54:21,short_honk
2023-08-19 18:25:21,short_honk
2023-08-19 18:27:21,short_honk
2023-08-19 19:02:21,short_honk
2023-08-19 19:05:21,short_honk
2023-08-19 19:55:21,short_honk
2023-08-19 20:00:21,sudden_deceleration
2023-08-19 20:33:21,sudden_deceleration
2023-08-19 20:56:21,short_honk
2023-08-19 21:28:21,short_honk
2023-08-19 23:27:21,sudden_acceleration
2023-08-19 23:38:21,short_honk
2023-08-20 00:45:21,short_honk
2023-08-20 01:27:21,sudden_deceleration
2023-08-20 02:11:21,sudden_acceleration
2023-08-20 18:11:21,short_honk
2023-08-20 19:42:21,sudden_deceleration
2023-08-20 19:48:21,short_honk
2023-08-20 20:13:21,short_honk
2023-08-20 21:46:21,short_honk
2023-08-20 21:48:21,short_honk
2023-08-20 23:06:21,short_honk
2023-08-21 00:12:21,short_honk
2023-08-21 18:59:21,short_honk
2023-08-21 20:20:21,short_honk
2023-08-21 21:10:21,short_honk
2023-08-22 00:04:21,short_honk
2023-08-22 00:26:21,short_honk
2023-08-22 00:58:21,short_honk
2023-08-22 01:08:21,short_honk
2023-08-22 01:57:21,sudden_acceleration
2023-08-22 03:32:21,short_honk
2023-08-22 19:27:21,short_honk
2023-08-22 19:46:21,short_honk
2023-08-22 20:19:21,short_honk
2023-08-22 20:24:21,short_honk
2023-08-22 21:19:21,sudden_deceleration
2023-08-22 22:14:21,sudden_acceleration
2023-08-22 22:33:21,sudden_deceleration
2023-08-22 22:41:21,short_honk
2023-08-23 00:15:21,short_honk
2023-08-23 00:25:21,short_honk
2023-08-23 00:52:21,sudden_deceleration
2023-08-23 19:09:21,short_honk
2023-08-23 19:15:21,short_honk
2023-08-23 19:29:21,sudden_acceleration
2023-08-23 20:35:21,sudden_deceleration
2023-08-23 21:58:21,short_honk
2023-08-23 22:28:21,long_honk
2023-08-23 23:03:21,short_honk
2023-08-23 23:07:21,short_honk
2023-08-23 23:25:21,sudden_acceleration
2023-08-23 23:40:21,sudden_acceleration
2023-08-23 23:48:21,short_honk
2023-08-24 01:29:21,short_honk
2023-08-24 18:28:21,short_honk
2023-08-24 18:49:21,sudden_deceleration
2023-08-24 19:16:21,sudden_acceleration
2023-08-24 19:26:21,short_honk
2023-08-24 20:13:21,short_honk
2023-08-24 21:18:21,short_honk
2023-08-24 21:39:21,sudden_deceleration
2023-08-24 23:57:21,short_honk
2023-08-25 00:07:21,short_honk
2023-08-25 00:51:21,short_honk
2023-08-25 01:12:21,sudden_acceleration
2023-08-25 01:16:21,short_honk
2023-08-25 18:48:21,short_honk
2023-08-25 20:34:21,sudden_deceleration
2023-08-25 21:42:21,short_honk
2023-08-25 22:30:21,sudden_acceleration
2023-08-25 22:41:21,short_honk
2023-08-25 22:44:21,short_honk
2023-08-26 00:03:21,sudden_acceleration
2023-08-26 00:04:21,sudden_acceleration
2023-08-26 00:07:21,short_honk
2023-08-26 00:08:21,sudden_deceleration
2023-08-26 00:09:21,short_honk
2023-08-26 00:35:21,short_honk
2023-08-26 00:50:21,short_honk
2023-08-26 18:06:21,short_honk
2023-08-26 19:14:21,sudden_acceleration
2023-08-26 19:52:21,long_honk
2023-08-26 20:42:21,short_honk
2023-08-26 23:18:21,short_honk
2023-08-27 01:31:21,short_honk
2023-08-27 19:34:21,short_honk
2023-08-27 20:05:21,sudden_deceleration
2023-08-27 20:58:21,short_honk
2023-08-27 21:33:21,sudden_acceleration
2023-08-27 21:40:21,sudden_acceleration
2023-08-27 22:56:21,short_honk
2023-08-27 23:09:21,sudden_deceleration
2023-08-28 01:50:21,short_honk
2023-08-28 02:02:21,sudden_acceleration
2023-08-28 18:52:21,short_honk
2023-08-28 20:11:21,short_honk
2023-08-28 22:43:21,sudden_deceleration
2023-08-28 22:45:21,sudden_acceleration
2023-08-28 23:38:21,short_honk
2023-08-29 00:07:21,short_honk
2023-08-29 00:16:21,short_honk
2023-08-29 01:11:21,short_honk
2023-08-29 02:39:21,short_honk
2023-08-29 03:53:21,short_honk
2023-08-29 21:53:21,sudden_acceleration
2023-08-29 22:40:21,sudden_deceleration
2023-08-29 23:04:21,short_honk
2023-08-29 23:14:21,short_honk
2023-08-29 23:55:21,sudden_acceleration
2023-08-30 00:33:21,sudden_deceleration
2023-08-30 18:22:21,short_honk
2023-08-30 18:26:21,short_honk
