timestamp,event_type
2023-08-03 08:00:00,short_honk
2023-08-03 08:50:00,long_honk
2023-08-03 09:20:00,short_honk
2023-08-03 09:30:00,sudden_deceleration
2023-08-03 09:50:00,sudden_acceleration
2023-08-03 10:10:00,sudden_deceleration
2023-08-03 11:50:00,sudden_deceleration
2023-08-03 12:00:00,sudden_acceleration
2023-08-03 12:40:00,sudden_deceleration
2023-08-03 13:40:00,short_honk
2023-08-03 14:30:00,short_honk
2023-08-03 14:40:00,short_honk
2023-08-03 15:10:00,sudden_deceleration
2023-08-03 16:00:00,sudden_deceleration
2023-08-03 16:10:00,short_honk
2023-08-03 16:20:00,sudden_deceleration
2023-08-03 17:00:00,sudden_deceleration
2023-08-04 09:40:00,short_honk
2023-08-04 11:10:00,sudden_deceleration
2023-08-04 11:20:00,long_honk
2023-08-04 11:30:00,short_honk
2023-08-04 11:50:00,short_honk
2023-08-04 12:00:00,sudden_deceleration
2023-08-04 13:20:00,long_honk
2023-08-04 13:50:00,long_honk
2023-08-04 14:00:00,sudden_deceleration
2023-08-04 14:30:00,short_honk
2023-08-04 15:10:00,sudden_deceleration
2023-08-04 15:50:00,sudden_deceleration
2023-08-04 17:20:00,sudden_deceleration
2023-08-04 18:10:00,sudden_acceleration
2023-08-04 18:20:00,sudden_deceleration
2023-08-04 18:30:00,sudden_deceleration
2023-08-04 18:40:00,sudden_deceleration
2023-08-05 08:40:00,short_honk
2023-08-05 10:10:00,sudden_deceleration
2023-08-05 10:40:00,sudden_deceleration
2023-08-05 11:20:00,long_honk
2023-08-05 11:40:00,sudden_acceleration
2023-08-05 11:50:00,short_honk
2023-08-05 12:30:00,sudden_deceleration
2023-08-05 13:10:00,sudden_deceleration
2023-08-05 14:20:00,short_honk
2023-08-05 14:30:00,sudden_acceleration
2023-08-05 15:00:00,short_honk
2023-08-05 16:30:00,sudden_acceleration
2023-08-05 16:40:00,sudden_acceleration
2023-08-05 17:00:00,long_honk
2023-08-05 17:20:00,short_honk
2023-08-05 17:40:00,sudden_acceleration
2023-08-05 17:50:00,sudden_deceleration
2023-08-06 06:00:00,sudden_deceleration
2023-08-06 06:10:00,short_honk
2023-08-06 06:50:00,short_honk
2023-08-06 07:30:00,sudden_deceleration
2023-08-06 07:40:00,sudden_acceleration
2023-08-06 08:20:00,sudden_acceleration
